time_s,position,velocity,acceleration,jerk,phase,setpoint,dir
1.842000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.843000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.844000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.845000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.846000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.847000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.848000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.849000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.850000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.851000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.852000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.853000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.854000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.855000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.856000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.857000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.858000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.859000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.860000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.861000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.862000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.863000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.864000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.865000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.866000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.867000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.868000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.869000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.870000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.871000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.872000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.873000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.874000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.875000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.876000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.877000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.878000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.879000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.880000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.881000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.882000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.883000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.884000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.885000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.886000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.887000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.888000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.889000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.890000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.891000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.892000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.893000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.894000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.895000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.896000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.897000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.898000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.899000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.900000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.901000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.902000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.903000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.904000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.905000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.906000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.907000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.908000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.909000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.910000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.911000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.912000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.913000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.914000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.915000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.916000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.917000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.918000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.919000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.920000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.921000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.922000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.923000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.924000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.925000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.926000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.927000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.928000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.929000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.930000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.931000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.932000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.933000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.934000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.935000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.936000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
1.937000,0.78539485,0.00000000,0.00000000,0.00000000,0,0.78539819,1
