t_s,target_rad,theta,omega,accel,jerk,isExec,cruiseN,skipAccel
3.496000,0.6981317,0.2575872,0.1309812,0.0000000,0.0830839,1,0,0
3.497000,0.6981317,0.2577181,0.1309812,0.0000000,0.0830839,1,0,0
3.498000,0.6981317,0.2578491,0.1309812,0.0000000,0.0830839,1,0,0
3.499000,0.6981317,0.2579801,0.1309812,0.0000000,0.0830839,1,0,0
3.500000,0.6981317,0.2581111,0.1309812,0.0000000,0.0830839,1,0,0
3.501000,0.6981317,0.2582421,0.1309812,0.0000000,0.0830839,1,0,0
3.502000,0.6981317,0.2583731,0.1309812,0.0000000,0.0830839,1,0,0
3.503000,0.6981317,0.2585040,0.1309812,0.0000000,0.0830839,1,0,0
3.504000,0.6981317,0.2586350,0.1309812,0.0000000,0.0830839,1,0,0
3.505000,0.6981317,0.2587660,0.1309812,0.0000000,0.0830839,1,0,0
3.506000,0.6981317,0.2588970,0.1309812,0.0000000,0.0830839,1,0,0
3.507000,0.6981317,0.2590280,0.1309812,0.0000000,0.0830839,1,0,0
3.508000,0.6981317,0.2591589,0.1309812,0.0000000,0.0830839,1,0,0
3.509000,0.6981317,0.2592899,0.1309812,0.0000000,0.0830839,1,0,0
3.510000,0.6981317,0.2594209,0.1309812,0.0000000,0.0830839,1,0,0
3.511000,0.6981317,0.2595519,0.1309812,0.0000000,0.0830839,1,0,0
3.512000,0.6981317,0.2596829,0.1309812,0.0000000,0.0830839,1,0,0
3.513000,0.6981317,0.2598138,0.1309812,0.0000000,0.0830839,1,0,0
3.514000,0.6981317,0.2599448,0.1309812,0.0000000,0.0830839,1,0,0
3.515000,0.6981317,0.2600758,0.1309812,0.0000000,0.0830839,1,0,0
3.516000,0.6981317,0.2602068,0.1309812,0.0000000,0.0830839,1,0,0
3.517000,0.6981317,0.2603378,0.1309812,0.0000000,0.0830839,1,0,0
3.518000,0.6981317,0.2604688,0.1309812,0.0000000,0.0830839,1,0,0
3.519000,0.6981317,0.2605997,0.1309812,0.0000000,0.0830839,1,0,0
3.520000,0.6981317,0.2607307,0.1309812,0.0000000,0.0830839,1,0,0
3.521000,0.6981317,0.2608617,0.1309812,0.0000000,0.0830839,1,0,0
3.522000,0.6981317,0.2609927,0.1309812,0.0000000,0.0830839,1,0,0
3.523000,0.6981317,0.2611237,0.1309812,0.0000000,0.0830839,1,0,0
3.524000,0.6981317,0.2612546,0.1309812,0.0000000,0.0830839,1,0,0
3.525000,0.6981317,0.2613856,0.1309812,0.0000000,0.0830839,1,0,0
3.526000,0.6981317,0.2615166,0.1309812,0.0000000,0.0830839,1,0,0
3.527000,0.6981317,0.2616476,0.1309812,0.0000000,0.0830839,1,0,0
3.528000,0.6981317,0.2617786,0.1309812,0.0000000,0.0830839,1,0,0
3.529000,0.6981317,0.2619095,0.1309812,0.0000000,0.0830839,1,0,0
3.530000,0.6981317,0.2620405,0.1309812,0.0000000,0.0830839,1,0,0
3.531000,0.6981317,0.2621715,0.1309812,0.0000000,0.0830839,1,0,0
3.532000,0.6981317,0.2623025,0.1309812,0.0000000,0.0830839,1,0,0
3.533000,0.6981317,0.2624335,0.1309812,0.0000000,0.0830839,1,0,0
3.534000,0.6981317,0.2625645,0.1309812,0.0000000,0.0830839,1,0,0
3.535000,0.6981317,0.2626954,0.1309812,0.0000000,0.0830839,1,0,0
3.536000,0.6981317,0.2628264,0.1309812,0.0000000,0.0830839,1,0,0
3.537000,0.6981317,0.2629574,0.1309812,0.0000000,0.0830839,1,0,0
3.538000,0.6981317,0.2630884,0.1309812,0.0000000,0.0830839,1,0,0
3.539000,0.6981317,0.2632194,0.1309812,0.0000000,0.0830839,1,0,0
3.540000,0.6981317,0.2633503,0.1309812,0.0000000,0.0830839,1,0,0
3.541000,0.6981317,0.2634813,0.1309812,0.0000000,0.0830839,1,0,0
3.542000,0.6981317,0.2636123,0.1309812,0.0000000,0.0830839,1,0,0
3.543000,0.6981317,0.2637433,0.1309812,0.0000000,0.0830839,1,0,0
3.544000,0.6981317,0.2638743,0.1309812,0.0000000,0.0830839,1,0,0
3.545000,0.6981317,0.2640052,0.1309812,0.0000000,0.0830839,1,0,0
3.546000,0.6981317,0.2641362,0.1309812,0.0000000,0.0830839,1,0,0
3.547000,0.6981317,0.2642672,0.1309812,0.0000000,0.0830839,1,0,0
3.548000,0.6981317,0.2643982,0.1309812,0.0000000,0.0830839,1,0,0
3.549000,0.6981317,0.2645292,0.1309812,0.0000000,0.0830839,1,0,0
3.550000,0.6981317,0.2646601,0.1309812,0.0000000,0.0830839,1,0,0
3.551000,0.6981317,0.2647911,0.1309812,0.0000000,0.0830839,1,0,0
3.552000,0.6981317,0.2649221,0.1309812,0.0000000,0.0830839,1,0,0
3.553000,0.6981317,0.2650531,0.1309812,0.0000000,0.0830839,1,0,0
3.554000,0.6981317,0.2651841,0.1309812,0.0000000,0.0830839,1,0,0
3.555000,0.6981317,0.2653151,0.1309812,0.0000000,0.0830839,1,0,0
3.556000,0.6981317,0.2654460,0.1309812,0.0000000,0.0830839,1,0,0
3.557000,0.6981317,0.2655770,0.1309812,0.0000000,0.0830839,1,0,0
3.558000,0.6981317,0.2657080,0.1309812,0.0000000,0.0830839,1,0,0
3.559000,0.6981317,0.2658390,0.1309812,0.0000000,0.0830839,1,0,0
3.560000,0.6981317,0.2659700,0.1309812,0.0000000,0.0830839,1,0,0
3.561000,0.6981317,0.2661009,0.1309812,0.0000000,0.0830839,1,0,0
3.562000,0.6981317,0.2662319,0.1309812,0.0000000,0.0830839,1,0,0
3.563000,0.6981317,0.2663629,0.1309812,0.0000000,0.0830839,1,0,0
3.564000,0.6981317,0.2664939,0.1309812,0.0000000,0.0830839,1,0,0
3.565000,0.6981317,0.2666249,0.1309812,0.0000000,0.0830839,1,0,0
3.566000,0.6981317,0.2667558,0.1309812,0.0000000,0.0830839,1,0,0
3.567000,0.6981317,0.2668868,0.1309812,0.0000000,0.0830839,1,0,0
3.568000,0.6981317,0.2670178,0.1309812,0.0000000,0.0830839,1,0,0
3.569000,0.6981317,0.2671488,0.1309812,0.0000000,0.0830839,1,0,0
3.570000,0.6981317,0.2672798,0.1309812,0.0000000,0.0830839,1,0,0
3.571000,0.6981317,0.2674108,0.1309812,0.0000000,0.0830839,1,0,0
3.572000,0.6981317,0.2675417,0.1309812,0.0000000,0.0830839,1,0,0
3.573000,0.6981317,0.2676727,0.1309812,0.0000000,0.0830839,1,0,0
3.574000,0.6981317,0.2678036,0.1309752,-0.0017881,0.0830839,1,0,0
3.575000,0.6981317,0.2679346,0.1309704,-0.0026822,0.0830839,1,0,0
3.576000,0.6981317,0.2680655,0.1309666,-0.0030220,0.0830839,1,0,0
3.577000,0.6981317,0.2681965,0.1309636,-0.0030273,0.0830839,1,0,0
3.578000,0.6981317,0.2683274,0.1309611,-0.0028523,0.0830839,1,0,0
3.579000,0.6981317,0.2684584,0.1309592,-0.0025777,0.0830839,1,0,0
3.580000,0.6981317,0.2685893,0.1309577,-0.0022693,0.0830839,1,0,0
3.581000,0.6981317,0.2687203,0.1309564,-0.0019640,0.0830839,1,0,0
3.582000,0.6981317,0.2688513,0.1309554,-0.0016743,0.0830839,1,0,0
3.583000,0.6981317,0.2689822,0.1309546,-0.0014090,0.0830839,1,0,0
3.584000,0.6981317,0.2691132,0.1309540,-0.0011785,0.0830839,1,0,0
3.585000,0.6981317,0.2692441,0.1309535,-0.0009814,0.0830839,1,0,0
3.586000,0.6981317,0.2693751,0.1309530,-0.0008122,0.0830839,1,0,0
3.587000,0.6981317,0.2695060,0.1309527,-0.0006669,0.0830839,1,0,0
3.588000,0.6981317,0.2696370,0.1309524,-0.0005473,0.0830839,1,0,0
3.589000,0.6981317,0.2697679,0.1309522,-0.0004457,0.0830839,1,0,0
3.590000,0.6981317,0.2698989,0.1309521,-0.0003611,0.0830839,1,0,0
3.591000,0.6981317,0.2700298,0.1309519,-0.0002930,0.0830839,1,0,0
3.592000,0.6981317,0.2701608,0.1309518,-0.0002364,0.0830839,1,0,0
3.593000,0.6981317,0.2702917,0.1309518,-0.0001878,0.0830839,1,0,0
3.594000,0.6981317,0.2704227,0.1309517,-0.0001494,0.0830839,1,0,0
3.595000,0.6981317,0.2705536,0.1309516,-0.0001224,0.0830839,1,0,0
3.596000,0.6981317,0.2706846,0.1309516,-0.0000991,0.0830839,1,0,0
3.597000,0.6981317,0.2708155,0.1309516,-0.0000828,0.0830839,1,0,0
3.598000,0.6981317,0.2709465,0.1309515,-0.0000669,0.0830839,1,0,0
3.599000,0.6981317,0.2710774,0.1309515,-0.0000558,0.0830839,1,0,0
3.600000,0.6981317,0.2712084,0.1309515,-0.0000435,0.0830839,1,0,0
3.601000,0.6981317,0.2713393,0.1309515,-0.0000349,0.0830839,1,0,0
3.602000,0.6981317,0.2714703,0.1309515,-0.0000244,0.0830839,1,0,0
3.603000,0.6981317,0.2716012,0.1309515,-0.0000171,0.0830839,1,0,0
3.604000,0.6981317,0.2717322,0.1309515,-0.0000120,0.0830839,1,0,0
3.605000,0.6981317,0.2718631,0.1309515,-0.0000084,0.0830839,1,0,0
3.606000,0.6981317,0.2719941,0.1309515,-0.0000059,0.0830839,1,0,0
3.607000,0.6981317,0.2721250,0.1309515,-0.0000041,0.0830839,1,0,0
3.608000,0.6981317,0.2722560,0.1309515,-0.0000029,0.0830839,1,0,0
3.609000,0.6981317,0.2723869,0.1309515,-0.0000020,0.0830839,1,0,0
3.610000,0.6981317,0.2725179,0.1309515,-0.0000014,0.0830839,1,0,0
3.611000,0.6981317,0.2726488,0.1309515,-0.0000010,0.0830839,1,0,0
3.612000,0.6981317,0.2727798,0.1309515,-0.0000007,0.0830839,1,0,0
3.613000,0.6981317,0.2729107,0.1309515,-0.0000005,0.0830839,1,0,0
3.614000,0.6981317,0.2730417,0.1309515,-0.0000003,0.0830839,1,0,0
3.615000,0.6981317,0.2731726,0.1309515,-0.0000002,0.0830839,1,0,0
3.616000,0.6981317,0.2733036,0.1309515,-0.0000002,0.0830839,1,0,0
3.617000,0.6981317,0.2734345,0.1309515,-0.0000001,0.0830839,1,0,0
3.618000,0.6981317,0.2735655,0.1309515,-0.0000001,0.0830839,1,0,0
3.619000,0.6981317,0.2736965,0.1309515,-0.0000001,0.0830839,1,0,0
3.620000,0.6981317,0.2738274,0.1309515,-0.0000000,0.0830839,1,0,0
3.621000,0.6981317,0.2739584,0.1309515,-0.0000000,0.0830839,1,0,0
3.622000,0.6981317,0.2740893,0.1309515,-0.0000000,0.0830839,1,0,0
3.623000,0.6981317,0.2742203,0.1309515,-0.0000000,0.0830839,1,0,0
3.624000,0.6981317,0.2743512,0.1309515,-0.0000000,0.0830839,1,0,0
3.625000,0.6981317,0.2744822,0.1309515,-0.0000000,0.0830839,1,0,0
3.626000,0.6981317,0.2746131,0.1309515,-0.0000000,0.0830839,1,0,0
3.627000,0.6981317,0.2747441,0.1309515,-0.0000000,0.0830839,1,0,0
3.628000,0.6981317,0.2748750,0.1309515,-0.0000000,0.0830839,1,0,0
3.629000,0.6981317,0.2750060,0.1309515,-0.0000000,0.0830839,1,0,0
3.630000,0.6981317,0.2751369,0.1309515,-0.0000000,0.0830839,1,0,0
3.631000,0.6981317,0.2752679,0.1309515,-0.0000000,0.0830839,1,0,0
3.632000,0.6981317,0.2753988,0.1309515,-0.0000000,0.0830839,1,0,0
3.633000,0.6981317,0.2755298,0.1309515,-0.0000000,0.0830839,1,0,0
3.634000,0.6981317,0.2756607,0.1309515,-0.0000000,0.0830839,1,0,0
3.635000,0.6981317,0.2757917,0.1309515,-0.0000000,0.0830839,1,0,0
3.636000,0.6981317,0.2759226,0.1309515,-0.0000000,0.0830839,1,0,0
3.637000,0.6981317,0.2760536,0.1309515,-0.0000000,0.0830839,1,0,0
3.638000,0.6981317,0.2761845,0.1309515,-0.0000000,0.0830839,1,0,0
3.639000,0.6981317,0.2763155,0.1309515,-0.0000000,0.0830839,1,0,0
3.640000,0.6981317,0.2764464,0.1309515,-0.0000000,0.0830839,1,0,0
3.641000,0.6981317,0.2765774,0.1309515,-0.0000000,0.0830839,1,0,0
3.642000,0.6981317,0.2767083,0.1309515,-0.0000000,0.0830839,1,0,0
3.643000,0.6981317,0.2768393,0.1309515,-0.0000000,0.0830839,1,0,0
3.644000,0.6981317,0.2769702,0.1309515,-0.0000000,0.0830839,1,0,0
3.645000,0.6981317,0.2771012,0.1309515,-0.0000000,0.0830839,1,0,0
3.646000,0.6981317,0.2772321,0.1309515,-0.0000000,0.0830839,1,0,0
3.647000,0.6981317,0.2773631,0.1309515,-0.0000000,0.0830839,1,0,0
3.648000,0.6981317,0.2774940,0.1309515,-0.0000000,0.0830839,1,0,0
3.649000,0.6981317,0.2776250,0.1309515,-0.0000000,0.0830839,1,0,0
3.650000,0.6981317,0.2777559,0.1309515,-0.0000000,0.0830839,1,0,0
3.651000,0.6981317,0.2778869,0.1309515,-0.0000000,0.0830839,1,0,0
3.652000,0.6981317,0.2780178,0.1309515,-0.0000000,0.0830839,1,0,0
3.653000,0.6981317,0.2781488,0.1309515,-0.0000000,0.0830839,1,0,0
3.654000,0.6981317,0.2782798,0.1309515,-0.0000000,0.0830839,1,0,0
3.655000,0.6981317,0.2784107,0.1309515,-0.0000000,0.0830839,1,0,0
3.656000,0.6981317,0.2785417,0.1309515,-0.0000000,0.0830839,1,0,0
3.657000,0.6981317,0.2786726,0.1309515,-0.0000000,0.0830839,1,0,0
3.658000,0.6981317,0.2788036,0.1309515,-0.0000000,0.0830839,1,0,0
3.659000,0.6981317,0.2789345,0.1309515,-0.0000000,0.0830839,1,0,0
3.660000,0.6981317,0.2790655,0.1309515,-0.0000000,0.0830839,1,0,0
3.661000,0.6981317,0.2791964,0.1309515,-0.0000000,0.0830839,1,0,0
3.662000,0.6981317,0.2793274,0.1309515,-0.0000000,0.0830839,1,0,0
3.663000,0.6981317,0.2794583,0.1309515,-0.0000000,0.0830839,1,0,0
3.664000,0.6981317,0.2795893,0.1309515,-0.0000000,0.0830839,1,0,0
3.665000,0.6981317,0.2797202,0.1309515,-0.0000000,0.0830839,1,0,0
3.666000,0.6981317,0.2798512,0.1309515,-0.0000000,0.0830839,1,0,0
3.667000,0.6981317,0.2799821,0.1309515,-0.0000000,0.0830839,1,0,0
3.668000,0.6981317,0.2801131,0.1309515,-0.0000000,0.0830839,1,0,0
3.669000,0.6981317,0.2802440,0.1309515,-0.0000000,0.0830839,1,0,0
3.670000,0.6981317,0.2803750,0.1309515,-0.0000000,0.0830839,1,0,0
3.671000,0.6981317,0.2805059,0.1309515,-0.0000000,0.0830839,1,0,0
3.672000,0.6981317,0.2806369,0.1309515,-0.0000000,0.0830839,1,0,0
3.673000,0.6981317,0.2807678,0.1309515,-0.0000000,0.0830839,1,0,0
3.674000,0.6981317,0.2808988,0.1309515,-0.0000000,0.0830839,1,0,0
3.675000,0.6981317,0.2810297,0.1309515,-0.0000000,0.0830839,1,0,0
3.676000,0.6981317,0.2811607,0.1309515,-0.0000000,0.0830839,1,0,0
3.677000,0.6981317,0.2812916,0.1309515,-0.0000000,0.0830839,1,0,0
3.678000,0.6981317,0.2814226,0.1309515,-0.0000000,0.0830839,1,0,0
3.679000,0.6981317,0.2815535,0.1309515,-0.0000000,0.0830839,1,0,0
3.680000,0.6981317,0.2816845,0.1309515,-0.0000000,0.0830839,1,0,0
3.681000,0.6981317,0.2818154,0.1309515,-0.0000000,0.0830839,1,0,0
3.682000,0.6981317,0.2819464,0.1309515,-0.0000000,0.0830839,1,0,0
3.683000,0.6981317,0.2820773,0.1309515,-0.0000000,0.0830839,1,0,0
3.684000,0.6981317,0.2822083,0.1309515,-0.0000000,0.0830839,1,0,0
3.685000,0.6981317,0.2823392,0.1309515,-0.0000000,0.0830839,1,0,0
3.686000,0.6981317,0.2824702,0.1309515,-0.0000000,0.0830839,1,0,0
3.687000,0.6981317,0.2826011,0.1309515,-0.0000000,0.0830839,1,0,0
3.688000,0.6981317,0.2827321,0.1309515,-0.0000000,0.0830839,1,0,0
3.689000,0.6981317,0.2828631,0.1309515,-0.0000000,0.0830839,1,0,0
3.690000,0.6981317,0.2829940,0.1309515,-0.0000000,0.0830839,1,0,0
3.691000,0.6981317,0.2831250,0.1309515,-0.0000000,0.0830839,1,0,0
3.692000,0.6981317,0.2832559,0.1309515,-0.0000000,0.0830839,1,0,0
3.693000,0.6981317,0.2833869,0.1309515,-0.0000000,0.0830839,1,0,0
3.694000,0.6981317,0.2835178,0.1309515,-0.0000000,0.0830839,1,0,0
3.695000,0.6981317,0.2836488,0.1309515,-0.0000000,0.0830839,1,0,0
3.696000,0.6981317,0.2837797,0.1309515,-0.0000000,0.0830839,1,0,0
3.697000,0.6981317,0.2839107,0.1309515,-0.0000000,0.0830839,1,0,0
3.698000,0.6981317,0.2840416,0.1309515,-0.0000000,0.0830839,1,0,0
3.699000,0.6981317,0.2841726,0.1309515,-0.0000000,0.0830839,1,0,0
3.700000,0.6981317,0.2843035,0.1309515,-0.0000000,0.0830839,1,0,0
3.701000,0.6981317,0.2844345,0.1309515,-0.0000000,0.0830839,1,0,0
3.702000,0.6981317,0.2845654,0.1309515,-0.0000000,0.0830839,1,0,0
3.703000,0.6981317,0.2846964,0.1309515,-0.0000000,0.0830839,1,0,0
3.704000,0.6981317,0.2848273,0.1309515,-0.0000000,0.0830839,1,0,0
3.705000,0.6981317,0.2849583,0.1309515,-0.0000000,0.0830839,1,0,0
3.706000,0.6981317,0.2850892,0.1309515,-0.0000000,0.0830839,1,0,0
3.707000,0.6981317,0.2852202,0.1309515,-0.0000000,0.0830839,1,0,0
3.708000,0.6981317,0.2853511,0.1309515,-0.0000000,0.0830839,1,0,0
3.709000,0.6981317,0.2854821,0.1309515,-0.0000000,0.0830839,1,0,0
3.710000,0.6981317,0.2856130,0.1309515,-0.0000000,0.0830839,1,0,0
3.711000,0.6981317,0.2857440,0.1309515,-0.0000000,0.0830839,1,0,0
3.712000,0.6981317,0.2858749,0.1309515,-0.0000000,0.0830839,1,0,0
3.713000,0.6981317,0.2860059,0.1309515,-0.0000000,0.0830839,1,0,0
3.714000,0.6981317,0.2861368,0.1309515,-0.0000000,0.0830839,1,0,0
